Time (Sec.),Cold (Volts),Hot (Volts),Total (Volts),T1 (Deg C),T2 (Deg C),T4 (Deg C),T5 (Deg C)
740,2.8,3,2.8,17.8,46.87,39.8,32.73
742,2.82,3.03,2.89,18.17,46.69,41.43,34
744,2.82,3.06,2.87,17.8,46.87,39.8,33.09
746,2.81,2.9,2.86,18.17,46.69,41.43,32.91
748,2.77,3.03,2.85,17.8,46.87,39.8,33.09
750,2.81,2.87,2.83,17.8,46.87,40.89,32.91
752,2.8,3.01,2.9,18.17,46.69,39.62,32.18
754,2.82,2.99,2.9,17.99,46.87,40.35,33.27
756,2.8,2.85,2.81,17.8,46.87,40.35,32.91
758,2.8,3.01,2.91,17.99,46.87,40.35,32.18
760,2.83,2.98,2.89,17.8,46.87,40.53,33.09
762,2.83,3.03,2.97,18.36,46.69,39.8,33.45
764,2.8,2.97,2.96,17.8,46.87,40.71,32.18
766,2.78,2.99,2.81,17.8,46.87,39.8,32.91
768,2.78,2.96,2.84,18.36,46.51,39.98,33.27
770,2.78,3.02,2.84,17.8,46.69,39.8,32.55
772,2.8,2.98,2.91,18.55,46.51,40.35,32.73
774,2.8,3,2.66,18.36,46.69,39.08,33.27
776,2.76,2.98,2.78,17.8,46.69,40.35,32.37
778,2.81,3,2.9,18.55,46.33,40.35,32.91
780,2.81,3.01,2.88,18.36,46.51,40.53,33.45
782,2.82,3.05,3.02,18.36,46.51,39.62,33.45
784,2.86,2.99,2.92,18.55,46.33,39.44,32.73
786,2.83,3.09,3.01,18.36,46.51,38.17,33.27
788,2.84,3.01,2.88,18.36,46.51,39.44,33.27
790,2.85,2.87,2.97,18.55,46.33,41.07,32.91
792,2.78,2.95,2.93,18.36,46.69,39.8,33.45
794,2.78,2.92,2.86,18.55,46.51,40.89,33.45
796,2.81,2.95,2.9,18.55,46.33,39.26,33.09
798,2.78,3.01,2.84,17.99,46.51,41.07,33.64
800,2.76,2.94,2.77,18.36,46.51,40.71,32.91
802,2.8,2.95,2.88,17.8,46.87,41.8,32.55
804,2.78,2.98,2.8,18.17,46.69,39.98,33.64
806,2.81,3.01,2.94,18.36,46.33,39.98,32.91
808,2.81,2.94,2.89,17.8,46.87,40.71,32.73
810,2.81,3,2.8,18.36,46.69,40.53,33.27
812,2.8,2.98,2.75,17.8,46.87,39.62,32.91
814,2.77,2.97,2.85,17.62,46.87,39.8,32.55
816,2.8,3,2.84,18.17,46.69,39.44,33.27
818,2.79,3.01,2.9,17.8,46.87,39.62,32.73
820,2.8,2.89,2.83,17.62,46.87,40.53,32.55
822,2.81,3.03,2.75,17.99,46.69,40.71,32.73
824,2.81,2.94,2.95,17.8,46.87,40.35,32.91
826,2.81,3.01,2.92,18.36,46.51,40.35,32.91
828,2.79,3.02,2.82,17.99,46.69,39.08,32.55
830,2.82,3,2.89,17.8,46.87,39.62,33.09
832,2.85,3.04,2.83,18.36,46.51,40.53,32.73
834,2.84,3.04,2.9,17.99,46.69,40.71,32.73
836,2.85,3.05,2.71,18.55,46.33,40.89,33.64
838,2.83,2.97,2.88,18.55,46.51,40.71,32.91
840,2.86,3.06,2.87,18.17,46.69,39.08,32.73
842,2.79,3,2.95,18.55,46.33,40.35,33.45
844,2.83,3.04,2.84,18.55,46.51,39.26,32.73
846,2.81,3.05,2.82,18.17,46.51,39.8,32.91
848,2.81,2.89,2.9,18.55,46.33,39.62,33.82
850,2.81,2.95,2.9,18.55,46.33,40.53,32.91
852,2.81,2.9,2.89,18.36,46.69,40.71,32.91
854,2.76,3.02,2.82,18.17,46.51,39.62,34
856,2.77,2.96,2.84,17.8,46.69,39.44,33.45
858,2.83,2.98,2.66,18.36,46.51,40.71,32.91
860,2.79,3.06,2.84,18.55,46.33,40.53,33.64
862,2.79,3.02,2.71,17.8,46.87,38.71,33.45
864,2.8,2.99,3,18.17,46.69,40.16,32.91
866,2.78,2.89,3.03,17.62,46.87,39.44,32.55
868,2.8,2.98,2.79,17.8,46.69,40.89,33.64
870,2.79,2.98,2.78,18.36,46.51,39.8,33.27
872,2.77,2.93,2.79,17.8,46.87,39.62,32.18
874,2.81,2.93,2.71,17.99,46.69,39.44,33.45
876,2.74,3,2.62,17.99,46.69,39.44,33.27
878,2.77,2.97,2.82,17.8,46.87,39.8,32.37
880,2.76,2.99,2.82,17.8,46.69,38.35,32.18
882,2.73,2.95,2.8,17.8,46.69,39.8,32.73
884,2.74,2.95,2.85,17.8,46.87,39.26,33.09
886,2.77,2.98,2.88,18.17,46.69,39.98,32.91
888,2.76,2.96,2.65,17.99,46.69,41.07,32.18
890,2.8,2.95,2.9,18.55,46.51,40.89,32.73
892,2.81,2.95,2.99,17.99,46.69,40.53,33.09
894,2.84,3.03,2.9,17.8,46.69,39.8,32.55
896,2.83,2.87,3.03,18.55,46.33,40.89,32.73
898,2.86,3.05,2.98,18.17,46.69,40.53,32.73
900,2.81,3.02,2.87,18.55,46.33,39.62,32.91
902,2.85,3.06,3,18.55,46.33,39.26,33.64
904,2.84,3.06,2.89,18.17,46.51,39.26,32.73
906,2.81,2.88,2.74,18.55,46.33,38.53,32.91
908,2.83,3.04,2.83,18.55,46.33,40.53,32.91
910,2.82,3.02,2.92,18.36,46.51,41.61,33.09
912,2.82,2.85,2.76,18.73,46.33,39.8,33.64
914,2.83,3.01,2.8,18.36,46.51,39.8,33.09
916,2.8,2.97,2.87,18.36,46.51,39.08,33.09
918,2.8,3.01,2.71,18.55,46.33,39.26,32.73
920,2.79,2.96,3.01,17.99,46.69,39.62,32.73
922,2.8,3,2.87,18.36,46.33,41.25,33.45
924,2.78,3,2.79,18.55,46.33,40.35,33.64
926,2.81,2.91,2.91,17.8,46.69,39.08,33.64
928,2.83,3.04,2.89,18.36,46.33,39.44,32.91
930,2.79,3.02,2.86,17.62,46.69,39.98,32.73
932,2.8,3,2.83,17.8,46.69,38.53,32.55
934,2.84,2.94,2.84,18.55,46.33,40.53,32
936,2.85,2.97,2.83,17.8,46.69,39.62,33.09
938,2.8,3.04,2.87,17.8,46.69,40.89,33.27
940,2.79,2.92,2.94,17.99,46.69,40.35,33.27
942,2.78,3,2.97,17.8,46.69,39.08,32.55
944,2.75,3,2.85,18.36,46.33,39.62,33.09
946,2.75,2.93,2.77,17.99,46.69,40.35,31.82
948,2.79,2.81,2.7,17.8,46.69,39.98,32
950,2.7,2.95,2.67,18.36,46.33,39.08,32.37
952,2.59,2.81,2.71,17.99,46.51,39.26,32.55
954,2.57,2.75,2.78,18.55,46.15,39.62,33.09
956,2.65,2.76,2.66,18.55,46.15,39.44,33.45
958,2.75,2.91,2.84,17.99,46.51,39.98,33.09
960,2.76,2.94,2.9,18.36,46.15,39.62,33.45
962,2.81,2.93,2.84,18.55,46.15,38.71,32.91
964,2.84,3,2.86,18.36,46.33,38.35,33.27
966,2.76,3.01,2.71,18.55,46.33,39.44,32.91
968,2.8,2.97,2.73,18.55,46.15,39.44,32.18
970,2.79,2.86,2.77,18.17,46.33,40.16,32.55
972,2.81,2.99,2.92,18.55,46.33,40.71,33.09
